Tokenized_Sentence,Tagged_Sentence
"['it', 'urged', 'that', 'the', 'city', '``', 'take', 'steps', 'to', 'remedy', ""''"", 'this', 'problem', '.']","['PRON', 'VERB', 'ADP', 'DET', 'NOUN', '.', 'VERB', 'NOUN', 'PRT', 'VERB', '.', 'DET', 'NOUN', '.']"
"['implementation', 'of', ""georgia's"", 'automobile', 'title', 'law', 'was', 'also', 'recommended', 'by', 'the', 'outgoing', 'jury', '.']","['NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADV', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', '.']"
"['it', 'urged', 'that', 'the', 'next', 'legislature', '``', 'provide', 'enabling', 'funds', 'and', 're-set', 'the', 'effective', 'date', 'so', 'that', 'an', 'orderly', 'implementation', 'of', 'the', 'law', 'may', 'be', 'effected', ""''"", '.']","['PRON', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', '.', 'VERB', 'VERB', 'NOUN', 'CONJ', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'VERB', 'VERB', '.', '.']"
"['the', 'grand', 'jury', 'took', 'a', 'swipe', 'at', 'the', 'state', 'welfare', ""department's"", 'handling', 'of', 'federal', 'funds', 'granted', 'for', 'child', 'welfare', 'services', 'in', 'foster', 'homes', '.']","['DET', 'ADJ', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', '.']"
"['``', 'this', 'is', 'one', 'of', 'the', 'major', 'items', 'in', 'the', 'fulton', 'county', 'general', 'assistance', 'program', ""''"", ',', 'the', 'jury', 'said', ',', 'but', 'the', 'state', 'welfare', 'department', '``', 'has', 'seen', 'fit', 'to', 'distribute', 'these', 'funds', 'through', 'the', 'welfare', 'departments', 'of', 'all', 'the', 'counties', 'in', 'the', 'state', 'with', 'the', 'exception', 'of', 'fulton', 'county', ',', 'which', 'receives', 'none', 'of', 'this', 'money', '.']","['.', 'DET', 'VERB', 'NUM', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN', '.', '.', 'DET', 'NOUN', 'VERB', '.', 'CONJ', 'DET', 'NOUN', 'NOUN', 'NOUN', '.', 'VERB', 'VERB', 'ADJ', 'PRT', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'ADP', 'PRT', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', '.', 'DET', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', '.']"
"['the', 'jurors', 'said', 'they', 'realize', '``', 'a', 'proportionate', 'distribution', 'of', 'these', 'funds', 'might', 'disable', 'this', 'program', 'in', 'our', 'less', 'populous', 'counties', ""''"", '.']","['DET', 'NOUN', 'VERB', 'PRON', 'VERB', '.', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADV', 'ADJ', 'NOUN', '.', '.']"
"['nevertheless', ',', '``', 'we', 'feel', 'that', 'in', 'the', 'future', 'fulton', 'county', 'should', 'receive', 'some', 'portion', 'of', 'these', 'available', 'funds', ""''"", ',', 'the', 'jurors', 'said', '.']","['ADV', '.', '.', 'PRON', 'VERB', 'ADP', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', '.', '.', 'DET', 'NOUN', 'VERB', '.']"
"['``', 'failure', 'to', 'do', 'this', 'will', 'continue', 'to', 'place', 'a', 'disproportionate', 'burden', ""''"", 'on', 'fulton', 'taxpayers', '.']","['.', 'NOUN', 'PRT', 'VERB', 'DET', 'VERB', 'VERB', 'PRT', 'VERB', 'DET', 'ADJ', 'NOUN', '.', 'ADP', 'NOUN', 'NOUN', '.']"
"['the', 'jury', 'also', 'commented', 'on', 'the', 'fulton', ""ordinary's"", 'court', 'which', 'has', 'been', 'under', 'fire', 'for', 'its', 'practices', 'in', 'the', 'appointment', 'of', 'appraisers', ',', 'guardians', 'and', 'administrators', 'and', 'the', 'awarding', 'of', 'fees', 'and', 'compensation', '.']","['DET', 'NOUN', 'ADV', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'DET', 'VERB', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', '.', 'NOUN', 'CONJ', 'NOUN', 'CONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'CONJ', 'NOUN', '.']"
"['wards', 'protected']","['NOUN', 'VERB']"
"['the', 'jury', 'said', 'it', 'found', 'the', 'court', '``', 'has', 'incorporated', 'into', 'its', 'operating', 'procedures', 'the', 'recommendations', ""''"", 'of', 'two', 'previous', 'grand', 'juries', ',', 'the', 'atlanta', 'bar', 'association', 'and', 'an', 'interim', 'citizens', 'committee', '.']","['DET', 'NOUN', 'VERB', 'PRON', 'VERB', 'DET', 'NOUN', '.', 'VERB', 'VERB', 'ADP', 'DET', 'VERB', 'NOUN', 'DET', 'NOUN', '.', 'ADP', 'NUM', 'ADJ', 'ADJ', 'NOUN', '.', 'DET', 'NOUN', 'NOUN', 'NOUN', 'CONJ', 'DET', 'NOUN', 'NOUN', 'NOUN', '.']"
"['``', 'these', 'actions', 'should', 'serve', 'to', 'protect', 'in', 'fact', 'and', 'in', 'effect', 'the', ""court's"", 'wards', 'from', 'undue', 'costs', 'and', 'its', 'appointed', 'and', 'elected', 'servants', 'from', 'unmeritorious', 'criticisms', ""''"", ',', 'the', 'jury', 'said', '.']","['.', 'DET', 'NOUN', 'VERB', 'VERB', 'PRT', 'VERB', 'ADP', 'NOUN', 'CONJ', 'ADP', 'NOUN', 'DET', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'CONJ', 'DET', 'VERB', 'CONJ', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', '.', '.', 'DET', 'NOUN', 'VERB', '.']"
"['regarding', ""atlanta's"", 'new', 'multi-million-dollar', 'airport', ',', 'the', 'jury', 'recommended', '``', 'that', 'when', 'the', 'new', 'management', 'takes', 'charge', 'jan.', '1', 'the', 'airport', 'be', 'operated', 'in', 'a', 'manner', 'that', 'will', 'eliminate', 'political', 'influences', ""''"", '.']","['ADP', 'NOUN', 'ADJ', 'ADJ', 'NOUN', '.', 'DET', 'NOUN', 'VERB', '.', 'ADP', 'ADV', 'DET', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NUM', 'DET', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'VERB', 'ADJ', 'NOUN', '.', '.']"
"['the', 'jury', 'did', 'not', 'elaborate', ',', 'but', 'it', 'added', 'that', '``', 'there', 'should', 'be', 'periodic', 'surveillance', 'of', 'the', 'pricing', 'practices', 'of', 'the', 'concessionaires', 'for', 'the', 'purpose', 'of', 'keeping', 'the', 'prices', 'reasonable', ""''"", '.']","['DET', 'NOUN', 'VERB', 'ADV', 'VERB', '.', 'CONJ', 'PRON', 'VERB', 'ADP', '.', 'PRT', 'VERB', 'VERB', 'ADJ', 'NOUN', 'ADP', 'DET', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADJ', '.', '.']"
"['ask', 'jail', 'deputies']","['VERB', 'NOUN', 'NOUN']"
"['on', 'other', 'matters', ',', 'the', 'jury', 'recommended', 'that', ':', '(', '1', ')']","['ADP', 'ADJ', 'NOUN', '.', 'DET', 'NOUN', 'VERB', 'ADP', '.', '.', 'NUM', '.']"
"['four', 'additional', 'deputies', 'be', 'employed', 'at', 'the', 'fulton', 'county', 'jail', 'and', '``', 'a', 'doctor', ',', 'medical', 'intern', 'or', 'extern', 'be', 'employed', 'for', 'night', 'and', 'weekend', 'duty', 'at', 'the', 'jail', ""''"", '.']","['NUM', 'ADJ', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'CONJ', '.', 'DET', 'NOUN', '.', 'ADJ', 'NOUN', 'CONJ', 'NOUN', 'VERB', 'VERB', 'ADP', 'NOUN', 'CONJ', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', '.', '.']"
"['(', '2', ')']","['.', 'NUM', '.']"
"['fulton', 'legislators', '``', 'work', 'with', 'city', 'officials', 'to', 'pass', 'enabling', 'legislation', 'that', 'will', 'permit', 'the', 'establishment', 'of', 'a', 'fair', 'and', 'equitable', ""''"", 'pension', 'plan', 'for', 'city', 'employes', '.']","['NOUN', 'NOUN', '.', 'VERB', 'ADP', 'NOUN', 'NOUN', 'PRT', 'VERB', 'VERB', 'NOUN', 'PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'CONJ', 'ADJ', '.', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', '.']"
"['the', 'jury', 'praised', 'the', 'administration', 'and', 'operation', 'of', 'the', 'atlanta', 'police', 'department', ',', 'the', 'fulton', 'tax', ""commissioner's"", 'office', ',', 'the', 'bellwood', 'and', 'alpharetta', 'prison', 'farms', ',', 'grady', 'hospital', 'and', 'the', 'fulton', 'health', 'department', '.']","['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'CONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', '.', 'DET', 'NOUN', 'NOUN', 'NOUN', 'NOUN', '.', 'DET', 'NOUN', 'CONJ', 'NOUN', 'NOUN', 'NOUN', '.', 'NOUN', 'NOUN', 'CONJ', 'DET', 'NOUN', 'NOUN', 'NOUN', '.']"
"['mayor', 'william', 'b.', 'hartsfield', 'filed', 'suit', 'for', 'divorce', 'from', 'his', 'wife', ',', 'pearl', 'williams', 'hartsfield', ',', 'in', 'fulton', 'superior', 'court', 'friday', '.']","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', '.', 'NOUN', 'NOUN', 'NOUN', '.', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'NOUN', '.']"
"['his', 'petition', 'charged', 'mental', 'cruelty', '.']","['DET', 'NOUN', 'VERB', 'ADJ', 'NOUN', '.']"
"['the', 'couple', 'was', 'married', 'aug.', '2', ',', '1913', '.']","['DET', 'NOUN', 'VERB', 'VERB', 'NOUN', 'NUM', '.', 'NUM', '.']"
"['they', 'have', 'a', 'son', ',', 'william', 'berry', 'jr.', ',', 'and', 'a', 'daughter', ',', 'mrs.', 'j.', 'm.', 'cheshire', 'of', 'griffin', '.']","['PRON', 'VERB', 'DET', 'NOUN', '.', 'NOUN', 'NOUN', 'NOUN', '.', 'CONJ', 'DET', 'NOUN', '.', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', '.']"
"['attorneys', 'for', 'the', 'mayor', 'said', 'that', 'an', 'amicable', 'property', 'settlement', 'has', 'been', 'agreed', 'upon', '.']","['NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'ADV', '.']"
"['the', 'petition', 'listed', 'the', ""mayor's"", 'occupation', 'as', '``', 'attorney', ""''"", 'and', 'his', 'age', 'as', '71', '.']","['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', '.', 'NOUN', '.', 'CONJ', 'DET', 'NOUN', 'ADP', 'NUM', '.']"
"['it', 'listed', 'his', ""wife's"", 'age', 'as', '74', 'and', 'place', 'of', 'birth', 'as', 'opelika', ',', 'ala.', '.']","['PRON', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'NUM', 'CONJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', '.', 'NOUN', '.']"
"['the', 'petition', 'said', 'that', 'the', 'couple', 'has', 'not', 'lived', 'together', 'as', 'man', 'and', 'wife', 'for', 'more', 'than', 'a', 'year', '.']","['DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'VERB', 'ADV', 'VERB', 'ADV', 'ADP', 'NOUN', 'CONJ', 'NOUN', 'ADP', 'ADJ', 'ADP', 'DET', 'NOUN', '.']"
"['the', 'hartsfield', 'home', 'is', 'at', '637', 'e.', 'pelham', 'rd.', 'aj', '.']","['DET', 'NOUN', 'NOUN', 'VERB', 'ADP', 'NUM', 'NOUN', 'NOUN', 'NOUN', 'NOUN', '.']"
"['henry', 'l.', 'bowden', 'was', 'listed', 'on', 'the', 'petition', 'as', 'the', ""mayor's"", 'attorney', '.']","['NOUN', 'NOUN', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', '.']"
"['hartsfield', 'has', 'been', 'mayor', 'of', 'atlanta', ',', 'with', 'exception', 'of', 'one', 'brief', 'interlude', ',', 'since', '1937', '.']","['NOUN', 'VERB', 'VERB', 'NOUN', 'ADP', 'NOUN', '.', 'ADP', 'NOUN', 'ADP', 'NUM', 'ADJ', 'NOUN', '.', 'ADP', 'NUM', '.']"
"['his', 'political', 'career', 'goes', 'back', 'to', 'his', 'election', 'to', 'city', 'council', 'in', '1923', '.']","['DET', 'ADJ', 'NOUN', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NUM', '.']"
"['the', ""mayor's"", 'present', 'term', 'of', 'office', 'expires', 'jan.', '1', '.']","['DET', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'NUM', '.']"
"['he', 'will', 'be', 'succeeded', 'by', 'ivan', 'allen', 'jr.', ',', 'who', 'became', 'a', 'candidate', 'in', 'the', 'sept.', '13', 'primary', 'after', 'mayor', 'hartsfield', 'announced', 'that', 'he', 'would', 'not', 'run', 'for', 'reelection', '.']","['PRON', 'VERB', 'VERB', 'VERB', 'ADP', 'NOUN', 'NOUN', 'NOUN', '.', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NUM', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'ADP', 'PRON', 'VERB', 'ADV', 'VERB', 'ADP', 'NOUN', '.']"
"['georgia', 'republicans', 'are', 'getting', 'strong', 'encouragement', 'to', 'enter', 'a', 'candidate', 'in', 'the', '1962', ""governor's"", 'race', ',', 'a', 'top', 'official', 'said', 'wednesday', '.']","['NOUN', 'NOUN', 'VERB', 'VERB', 'ADJ', 'NOUN', 'PRT', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NUM', 'NOUN', 'NOUN', '.', 'DET', 'ADJ', 'NOUN', 'VERB', 'NOUN', '.']"
"['robert', 'snodgrass', ',', 'state', 'gop', 'chairman', ',', 'said', 'a', 'meeting', 'held', 'tuesday', 'night', 'in', 'blue', 'ridge', 'brought', 'enthusiastic', 'responses', 'from', 'the', 'audience', '.']","['NOUN', 'NOUN', '.', 'NOUN', 'NOUN', 'NOUN', '.', 'VERB', 'DET', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', '.']"
"['state', 'party', 'chairman', 'james', 'w.', 'dorsey', 'added', 'that', 'enthusiasm', 'was', 'picking', 'up', 'for', 'a', 'state', 'rally', 'to', 'be', 'held', 'sept.', '8', 'in', 'savannah', 'at', 'which', 'newly', 'elected', 'texas', 'sen.', 'john', 'tower', 'will', 'be', 'the', 'featured', 'speaker', '.']","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADP', 'NOUN', 'VERB', 'VERB', 'PRT', 'ADP', 'DET', 'NOUN', 'NOUN', 'PRT', 'VERB', 'VERB', 'NOUN', 'NUM', 'ADP', 'NOUN', 'ADP', 'DET', 'ADV', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'VERB', 'DET', 'VERB', 'NOUN', '.']"
"['in', 'the', 'blue', 'ridge', 'meeting', ',', 'the', 'audience', 'was', 'warned', 'that', 'entering', 'a', 'candidate', 'for', 'governor', 'would', 'force', 'it', 'to', 'take', 'petitions', 'out', 'into', 'voting', 'precincts', 'to', 'obtain', 'the', 'signatures', 'of', 'registered', 'voters', '.']","['ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', '.', 'DET', 'NOUN', 'VERB', 'VERB', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'VERB', 'PRON', 'PRT', 'VERB', 'NOUN', 'PRT', 'ADP', 'VERB', 'NOUN', 'PRT', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'NOUN', '.']"
"['despite', 'the', 'warning', ',', 'there', 'was', 'a', 'unanimous', 'vote', 'to', 'enter', 'a', 'candidate', ',', 'according', 'to', 'republicans', 'who', 'attended', '.']","['ADP', 'DET', 'VERB', '.', 'PRT', 'VERB', 'DET', 'ADJ', 'NOUN', 'PRT', 'VERB', 'DET', 'NOUN', '.', 'ADP', 'ADP', 'NOUN', 'PRON', 'VERB', '.']"
"['when', 'the', 'crowd', 'was', 'asked', 'whether', 'it', 'wanted', 'to', 'wait', 'one', 'more', 'term', 'to', 'make', 'the', 'race', ',', 'it', 'voted', 'no', '--', 'and', 'there', 'were', 'no', 'dissents', '.']","['ADV', 'DET', 'NOUN', 'VERB', 'VERB', 'ADP', 'PRON', 'VERB', 'PRT', 'VERB', 'NUM', 'ADJ', 'NOUN', 'PRT', 'VERB', 'DET', 'NOUN', '.', 'PRON', 'VERB', 'ADV', '.', 'CONJ', 'PRT', 'VERB', 'DET', 'NOUN', '.']"
"['the', 'largest', 'hurdle', 'the', 'republicans', 'would', 'have', 'to', 'face', 'is', 'a', 'state', 'law', 'which', 'says', 'that', 'before', 'making', 'a', 'first', 'race', ',', 'one', 'of', 'two', 'alternative', 'courses', 'must', 'be', 'taken', ':', '1']","['DET', 'ADJ', 'NOUN', 'DET', 'NOUN', 'VERB', 'VERB', 'PRT', 'VERB', 'VERB', 'DET', 'NOUN', 'NOUN', 'DET', 'VERB', 'ADP', 'ADP', 'VERB', 'DET', 'ADJ', 'NOUN', '.', 'NUM', 'ADP', 'NUM', 'ADJ', 'NOUN', 'VERB', 'VERB', 'VERB', '.', 'NUM']"
"['five', 'per', 'cent', 'of', 'the', 'voters', 'in', 'each', 'county', 'must', 'sign', 'petitions', 'requesting', 'that', 'the', 'republicans', 'be', 'allowed', 'to', 'place', 'names', 'of', 'candidates', 'on', 'the', 'general', 'election', 'ballot', ',', 'or', '2']","['NUM', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'VERB', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'VERB', 'VERB', 'PRT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', '.', 'CONJ', 'NUM']"
"['the', 'republicans', 'must', 'hold', 'a', 'primary', 'under', 'the', 'county', 'unit', 'system', '--', 'a', 'system', 'which', 'the', 'party', 'opposes', 'in', 'its', 'platform', '.']","['DET', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', '.', 'DET', 'NOUN', 'DET', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', '.']"
"['sam', 'caldwell', ',', 'state', 'highway', 'department', 'public', 'relations', 'director', ',', 'resigned', 'tuesday', 'to', 'work', 'for', 'lt.', 'gov.', 'garland', ""byrd's"", 'campaign', '.']","['NOUN', 'NOUN', '.', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN', '.', 'VERB', 'NOUN', 'PRT', 'VERB', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', '.']"
"[""caldwell's"", 'resignation', 'had', 'been', 'expected', 'for', 'some', 'time', '.']","['NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', '.']"
"['he', 'will', 'be', 'succeeded', 'by', 'rob', 'ledford', 'of', 'gainesville', ',', 'who', 'has', 'been', 'an', 'assistant', 'more', 'than', 'three', 'years', '.']","['PRON', 'VERB', 'VERB', 'VERB', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', '.', 'PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NUM', 'NOUN', '.']"
"['when', 'the', 'gubernatorial', 'campaign', 'starts', ',', 'caldwell', 'is', 'expected', 'to', 'become', 'a', 'campaign', 'coordinator', 'for', 'byrd', '.']","['ADV', 'DET', 'ADJ', 'NOUN', 'VERB', '.', 'NOUN', 'VERB', 'VERB', 'PRT', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'NOUN', '.']"
