Karl was a good baseball player in his youth.,"As a middle-aged man, he joined an adult baseball team.",Karl is very competitive and will do anything to win.,"One day, he slid into second base to beat a throw and hurt his knee.",The injury made Karl realize that he wasn't young anymore.
Nick was trying to buy a house.,He lived with a roommate that he couldn't trust.,His stuff always ended up missing from his bedroom.,He knew it had to be Nick so he decided he would move out.,He found a place and moved out as fast as he could.
Jody bought a goldfish from the pet store.,She noticed that the goldfish looked quite fat.,Her mom told her that the goldfish had too much to eat.,Jody adjusted her pet's diet.,The goldfish got skinnier and healthier.
Jane had recently gotten a new job.,She was nervous about her first day of work.,"On the first day of work, Jane overslept.",Jane arrived at work an hour late.,Jane did not make a good impression at her new job.
Jill was going on a trip to the amazon.,She arrived after a flight from the US.,Once there she marveled at all the beauty.,"It was dangerous, but exciting.",Jill had a wonderful time on her trip to the Amazon.
Chris is a defense attorney.,He has a client that he must defend in court.,The client is not guilty.,Chris does his best to defend his client during his trial.,Chris wins the case and the client goes free.
Julie was feeling hungry.,She thought she would order some Pizza.,Julie order the food through an online website.,The pizza arrived and Julie tipped the driver.,Julie went to take a bite of the pizza and it was burnt!
Justin was terrified of dogs.,His girlfriend had a dog and he wanted to feel comfortable with it.,Justin went to therapy to help him get over his fear.,After a few months of therapy Justin felt better around dogs.,Justin then moved in with his girlfriend and her dog.
David was walking down the street when he felt down.,He stood up and saw that his knee was bleeding.,He found a handkerchief in his pants and applied it to the wound.,He hopped to the nearest pharmacy stifling his pain.,He then bought some peroxide and bandages to treat his knee.
Nicole wanted to go to a concert in another city.,"Unfortunately, Nicole could not drive.",She asked her cousin to take her to the concert.,Her cousin agreed to drive if Naomi bought the tickets.,They went to the concert and had a great time.
I woke from my sleep at around three in the morning.,I heard a scratching sound coming from inside my closet.,I turned the light on beside my bed to investigate.,I crept slowly toward the closet.,"My little brother jumped out of the closet, scaring me to death."
Ken put a bottle of beer in the freezer.,He heard a popping noise.,He looked in the freezer and saw the bottle had burst.,He didn't want to wait for another beer to get cold.,He drank a warm beer instead.
Christmas was Tyler's favorite holiday.,On Christmas morning he ran downstairs to the tree.,Tyler saw so many presents and could not wait to open them.,"By the time his parents woke up, Tyler had opened all his presents!",Tyler showed his parents everything Santa Claus gave him.
Wendy was working at her local fast food establishment.,She pretty much hated her Job.,Wendy was having a rough day and her employees were annoying her.,The cook decided to defy her orders when she said go clean the trash.,Wendy flew off the handle and fired him on the spot.
Walter was worried because his dog was showing a lot of aggression.,The dog recently began snapping at other dogs and even people.,Walter consulted with his veterinarian.,The vet discovered that the dog was suffering a flea infestation.,"Some medication got rid of the fleas and the dog's bad mood, too."
The couple took a romantic trip to the lake.,They stayed in a nice cabin by the water.,They went boating and relaxed in the hammock.,They were happy to reconnect with each other.,"When they returned home, they decided to buy a lake house."
The family planned their first trip to Universal Studios.,They were excited to go on all the rides.,They saw a lot of the characters.,They spent three days in the park.,They were sad to come home.
I went to a restaurant.,I ordered fries.,They put ketchup on the fries.,I was furious at the awful site.,"After complaining, I was given delicious, ketchup free fries."
The woman decided to start a new hobby.,She went to the craft store and picked out some supplies.,She went home and created an amazing masterpiece.,She was very proud of her work.,She displayed it in her kitchen.
James had always wanted to try out for a sport at his school.,He decided he would try out for football.,James exercised every day to be ready to try out.,"After trying out, James was accepted onto the team.",James was glad to be playing a sport at school.
Josie wanted to win an important race at school.,She woke up early for a week to practice in the park.,She also hired a coach to train with him after school.,When the race event started she was really nervous.,But all her hard work paid off and she made it to third place easily.
Kayla parked her car in front of the convenience store.,"She got out of the car, and began to walk towards the store.","Suddenly, she got hit in the head with an egg.",She looked up and saw teenagers on top of the store.,"The teenagers ran away, and Kayla was left with an egg on her head."
A police officer got a new patrol route.,He wasn't familiar with the neighborhood.,He spent a lot of time familiarizing himself with the street names.,SOon he got to know everyone in the neighborhood.,He was beginning to feel at home.
Mikey has a habit of taking items that don't belong to him.,Last night he stole a trailer from Henry's yard.,Henry has a camera in his yard and caught Mikey on tape.,The cops were called and took Mikey to jail.,Mikey is now sitting in a cell thinking about his actions.
Roger was hungry.,He checked the fridge.,The fridge was empty.,Roger went to the store.,He came home with lots of food.
Bob stared in disbelief at the flooded basement.,All that could be seen were the stone arches above the doors.,The plumber told him it flooded because the sump pump was off.,Bob understood that was because the electricity had also been off.,He enabled the electricity and the pump drained the flooded basement.
Oscar decided that he no longer wanted to be out of shape.,He decided to start running outside every day.,At first he found it very difficult.,"However, over time, Oscar began to enjoy running.",He was glad to be getting in shape.
Jill went to the doctor for her annual exam.,A lump was found on her breast and she needed more testing.,She went to a follow up appointment and it was confirmed as cancer.,Jill went through several rounds of chemotherapy.,"Fortunately, she had no signs of cancer following her treatment."
Jasmine had homework to do.,She did not have a pencil.,She looked around the room for one.,The room did not have a pencil.,Jasmine decided not to do her homework.
Marc always had perfect attendance at school.,"One day, he stopped coming to class.",Everyone was worried about him!,He came back a few days later.,He had been in bed with the flu.
Joe was really excited for Christmas.,Joe has never seen Santa Claus before.,He decided to hide on top of the staircase to try to catch Santa.,Joe waited as long as he could before he fell asleep.,"He woke up to many presents under the tree, and no Santa in sight!"
Anna went to pick apples.,She tried to pluck the low-hanging fruits.,But she could reach very few.,"At the end of the trip, she had only ten apples.",Anna wished she had been able to reach more apples!
Bob bought a new manufactured home in Montana.,He was sad he didn't have any land to grow a garden on.,One of his neighbors told him he could vegetables in tires.,Bob tried it and was astounded when it worked.,He's very proud of his tire grown tomatoes and corn.
The candidates were running a tight campaign.,The latest poll said they were tied.,The Republican candidate focused on radio ads.,The Democrat focused on TV.,They fought for every vote they could grab.
Johnnie got dragged to the ballet because his sister wanted to go.,He was dreading how boring it would be.,He was already bored when the lights were dimmed.,Then when the dancers started he got into it.,He was sad when it ended.
Dan had always wanted to participate in a marathon.,However he was scared that it would be very difficult.,He decided to practice until he felt stronger.,Finally he was prepared to participate in a marathon.,Dan was glad that he was finally going to run a marathon.
"Bill's wife, Carly, warned him that it would rain today.","Bill disregarded this, and began mowing the lawn.","Within minutes, rain began pouring down on Billy.",Billy hurried to get the tools inside the shed and went in the house.,"Carly was there, giving Billy the look that says I told you so."
Joe rented a movie from one of the last rental stores.,He had it for five days so he was going to keep it that long.,At the end of the fifth day he decided to take it back.,The store closed early that night.,Joe now has to pay a ten dollar late fee on a five dollar movie.
Janet loved to pet her neighbor's dog.,She was told the dog had puppies a few weeks ago.,Janet was very excited to see them.,She begged her parents to let her have a puppy.,Janet was very happy when she walked back to her house with a puppy.
When Shawn was growing up he collected beanie babies.,He had hundreds of them.,He was convinced that they would be worth a lot of money.,He kept them for almost twenty years before realizing he was wrong.,He is now just a grown man with hundreds of stuffed animals.
Jasmin got pregnant during her senior year of high school.,She was very worried that her life would be ruined.,She had her baby after graduation.,She was still able to go to college to pursue her education.,"As soon as she graduated, she landed her dream job!"
Randy had recently separated from his wife.,He felt very lonely and sad all the time.,"He considered trying to patch things up with Vera, his ex-wife.",He decided to get a puppy instead.,His decision made him happy and he no longer felt sad.
Tim needed to take a large test to graduate from high school.,He was confident he would pass.,"However, Tim never studied for tests, including this one!","Tim guessed all the answers, failed the test, and did not graduate.",Tim learned that studying is important.
Lucy made marinara sauce for her family.,It took a lot of time and effort.,They ate it all and said it was great.,She finally tried it and it was disgusting.,She was happy they all pretended to like it.
Little Charlie and his dad were painting the garage.,Charlie had some trouble controlling the brush.,His dad turned around and started to laugh.,Charlie had paint on him from head to toe.,His dad rinsed him off with water from the hose.
Fred was never one for the gym.,He was always worried about what he would look like going in there.,One day he decided to go for it.,It was a great life change for Fred.,"He started looking better and feeling better, all thanks to the gym."
Leah and Kerry went to the beach in December.,Kerry put on her bathing suit and waded into the ocean!,The water was so cold that Kerry's lips turned turned blue.,"Leah pulled her from the icy water, saving Kerry from frostbite.",Kerry learned not to swim at the beach in cold weather.
Eliza needed a new dress for a party.,She went to a department store and looks at their dresses.,Eliza finds a purple dress that would look great for the party.,The store does not have the dress in Eliza's size.,Eliza is sad that she will have to keep looking for another dress.
"Jane walked into the home improvement store, ready to complain.","Her new lawn mower would not crank, so she brought it back.","She talked to the clerk, who asked for her receipt.","She gave him the receipt, and she exchanged the mower for a new one.","Jane took the new mower home, and it cranked immediately."
The children laughed as it started raining on them.,They splashed about and started throwing mud at each other.,Nora looked aghast through the door and prepared to yell at them.,She paused when she realized how much ridiculous fun they were having.,"Nora decided to laugh at their antics and to join them, instead."
Karen's job requires long hours at work.,She works upwards of 80 hours per week.,Karen decides that she needs to relax and have some time off.,She books a vacation to Mexico.,Karen travels to Mexico and has a very relaxing vacation.
The boys were so excited they couldn't even sleep that night.,It was Christmas morning and they sprang out of bed.,They ran downstairs to the tree.,There it was!,The brand new Go Cart they had wanted.
I was listening to the music saved on my phone.,"Since the volume was on the highest setting, I couldn't hear anything.","My mom tried to call me, but I didn't respond since I didn't hear her.","When I went to look for my leftover food, it was gone.",My mom told me that she ate it.
Jeff needed a big amount of money.,He had made some bad bets and was down big.,Jeff decided he had to take extreme gamble.,Jeff bet all of his life savings on the basketball game.,Jeff won and covered the spread to win it all.
John decided he wanted to move to a new state.,Before he could move he needed to sell his house.,A buyer offered John a good price for his house.,John sold the house.,He was happy that he could now move to a new state.
Sandy wanted to go clubbing.,She was going to the hottest club in the city.,She got to the club and started to have a few drinks.,She saw her ex boyfriend who wanted to come talk to her.,He caused a big scene when Sandy Refused.
Bobby wanted to take his family to the beach.,He planned the itinerary carefully.,"When it was time to leave, they loaded up the car.",THey spent the next five days relaxing on the sand.,It was a great family trip!
Jane wanted to become a better artist.,She bought brushes and paint from the art store.,She practiced her painting skills whenever she could.,"The next month, she entered an art contest.",She was excited when her painting won a ribbon.
